,Date,confirmed_cases
0,2020-01-23,653.0
1,2020-01-24,941.0
2,2020-01-25,2019.0
3,2020-01-26,2794.0
4,2020-01-27,4473.0
5,2020-01-28,6057.0
6,2020-01-29,7783.0
7,2020-01-30,9776.0
8,2020-01-31,11374.0
9,2020-02-01,14549.0
10,2020-02-02,17295.0
11,2020-02-03,20588.0
12,2020-02-04,24503.0
13,2020-02-05,24630.0
14,2020-02-06,30806.0
15,2020-02-07,31532.0
16,2020-02-08,37549.0
17,2020-02-09,40536.0
18,2020-02-10,42767.0
19,2020-02-11,45117.0
20,2020-02-12,60328.0
21,2020-02-13,64422.0
22,2020-02-14,66887.0
23,2020-02-15,69032.0
24,2020-02-16,71226.0
25,2020-02-17,73260.0
