<<<<<<< HEAD
Date,Post Count
2019-03-11,1
2019-03-12,1
2019-03-27,1
2019-04-17,2
2019-04-26,1
2019-05-16,3
2019-06-02,1
2019-06-06,1
2019-06-07,2
2019-06-14,1
2019-06-30,1
2019-08-07,1
2019-08-09,1
2019-08-11,1
2019-08-25,2
2019-08-30,2
2019-09-04,1
2019-09-05,2
2019-09-26,1
2019-10-26,1
2019-10-31,1
2019-12-13,1
2019-12-16,1
2019-12-19,1
2019-12-28,1
2020-01-01,2
2020-01-08,22
2020-01-09,43
2020-01-10,27
2020-01-11,16
2020-01-12,4
2020-01-13,29
2020-01-14,57
2020-01-15,94
2020-01-16,92
2020-01-17,132
2020-01-18,75
2020-01-19,157
2020-01-20,682
2020-01-21,1765
2020-01-22,2247
2020-01-23,3853
2020-01-24,4912
2020-01-25,5309
2020-01-26,6979
2020-01-27,6810
2020-01-28,7482
2020-01-29,7668
2020-01-30,8877
2020-01-31,7976
2020-02-01,5524
2020-02-02,5083
2020-02-03,6145
2020-02-04,5876
2020-02-05,5700
2020-02-06,5807
2020-02-07,6094
2020-02-08,4552
2020-02-09,4053
2020-02-10,5399
2020-02-11,5037
2020-02-12,5062
2020-02-13,4837
2020-02-14,4025
2020-02-15,3050
2020-02-16,2975
2020-02-17,4064
2020-02-18,3755
2020-02-19,3496
2020-02-20,3589
2020-02-21,4582
2020-02-22,4348
2020-02-23,4373
2020-02-24,6679
2020-02-25,8326
2020-02-26,10885
2020-02-27,13233
2020-02-28,13850
2020-02-29,10626
2020-03-01,9862
2020-03-02,13736
2020-03-03,14911
2020-03-04,14775
2020-03-05,15197
=======
Date,Count
3/11/2019,1
3/12/2019,1
3/27/2019,1
4/17/2019,2
4/26/2019,1
5/16/2019,3
6/2/2019,1
6/6/2019,1
6/7/2019,2
6/14/2019,1
6/30/2019,1
8/7/2019,1
8/9/2019,1
8/11/2019,1
8/25/2019,2
8/30/2019,2
9/4/2019,1
9/5/2019,2
9/26/2019,1
10/26/2019,1
10/31/2019,1
12/13/2019,1
12/16/2019,1
12/19/2019,1
12/28/2019,1
1/1/2020,2
1/8/2020,22
1/9/2020,43
1/10/2020,27
1/11/2020,16
1/12/2020,4
1/13/2020,29
1/14/2020,57
1/15/2020,94
1/16/2020,92
1/17/2020,132
1/18/2020,75
1/19/2020,157
1/20/2020,682
1/21/2020,1765
1/22/2020,2247
1/23/2020,3853
1/24/2020,4912
1/25/2020,5309
1/26/2020,6979
1/27/2020,6810
1/28/2020,7482
1/29/2020,7668
1/30/2020,8877
1/31/2020,7976
2/1/2020,5524
2/2/2020,5083
2/3/2020,6145
2/4/2020,5876
2/5/2020,5700
2/6/2020,5807
2/7/2020,6094
2/8/2020,4552
2/9/2020,4053
2/10/2020,5399
2/11/2020,5037
2/12/2020,5062
2/13/2020,4837
2/14/2020,4025
2/15/2020,3050
2/16/2020,2975
2/17/2020,4064
2/18/2020,3755
2/19/2020,3496
2/20/2020,3589
2/21/2020,4582
2/22/2020,4348
2/23/2020,4373
2/24/2020,6679
2/25/2020,8326
2/26/2020,10885
2/27/2020,13233
2/28/2020,13850
2/29/2020,10626
3/1/2020,9862
3/2/2020,13736
3/3/2020,14911
3/4/2020,14775
3/5/2020,15197
>>>>>>> e169d813412517ab755ecf21f8561da14138fd9b
